1,Achromobacter xylosoxidans,,,,,,,,,
2,Acinetobacter baumannii,,,,,,,,,
3,Acinetobacter oleiovorans,,,,,,,,,
4,Acinetobacter sp.,,,,,,,,,
5,Actinomyces oris,,,,,,,,,
6,Actinoplanes missouriensis,,,,,,,,,
7,Aeromonas hydrophila,,,,,,,,,
8,Aeromonas sobria,,,,,,,,,
9,Amycolatopsis orientalis,,,,,,,,,
10,Aquifex aeolicus,,,,,,,,,
11,Arthrobacter sp.,,,,,,,,,
12,Aspergillus niger,,,,,,,,,
13,Bacillus amyloliquefaciens,,,,,,,,,
14,Bacillus anthracis,,,,,,,,,
15,Bacillus cereus,,,,,,,,,
16,Bacillus licheniformis,,,,,,,,,
17,Bacillus subtilis,,,,,,,,,
18,Bacteroides,,,,,,,,,
19,Bacteroides eggerthii,,,,,,,,,
20,Bacteroides fragilis,,,,,,,,,
21,Bacteroides uniformis,,,,,,,,,
22,Bacteroides vulgatus,,,,,,,,,
23,Bakers yeast,,,,,,,,,
24,Burkholderia cenocepacia,,,,,,,,,
25,Burkholderia cepacia,,,,,,,,,
26,Burkholderia multivorans,,,,,,,,,
27,Burkholderia pseudomallei,,,,,,,,,
28,Campylobacter jejuni,,,,,,,,,
29,Candida albicans,,,,,,,,,
30,Candida dubliniensis,,,,,,,,,
31,Candida glabrata,,,,,,,,,
32,Candida guiliermondi,,,,,,,,,
33,Candida krusei,,,,,,,,,
34,Candida parapsilosis,,,,,,,,,
35,Candida spp.,,,,,,,,,
36,Candida tropicalis,,,,,,,,,
37,Chromobacterium violaceum,,,,,,,,,
38,Citrobacter freundii,,,,,,,,,
39,Clostridium leptum,,,,,,,,,
40,Clostridium pasteurianum,,,,,,,,,
41,Clostridium perfringens,,,,,,,,,
42,Coagulase-negative staphylococci,,,,,,,,,
43,Corynebacterium ammoniagenes,,,,,,,,,
44,Cronobacter sakazakii,,,,,,,,,
45,Cryptococcus neoformans,,,,,,,,,
46,DengueVirusType 2,,,,,,,,,
47,Desulfovibrio africanus,,,,,,,,,
48,Dihydropteroate synthase type-1,,,,,,,,,
49,Edwardsiella tarda,,,,,,,,,
50,Eggerthella lenta,,,,,,,,,
51,Eikenella corrodens,,,,,,,,,
52,Enteric bacteria and other eubacteria,,,,,,,,,
53,Enterobacter aerogenes,,,,,,,,,
54,Enterobacter cancerogenus,,,,,,,,,
55,Enterobacter cloacae,,,,,,,,,
56,Enterobacter ludwigi,,,,,,,,,
57,Enterobacteria phage T4,,,,,,,,,
58,Enterococcus faecalis,,,,,,,,,
59,Enterococcus faecium,,,,,,,,,
60,Escherichia coli,,,,,,,,,
61,Eubacterium ramulus,,,,,,,,,
62,Firmicutes,,,,,,,,,
63,Geobacillus kaustophilus,,,,,,,,,
64,Haemophilus influenzae,,,,,,,,,
65,Hafnia alvei,,,,,,,,,
66,Halomonas pacifica,,,,,,,,,
67,Helicobacter pylori,,,,,,,,,
68,Hepatitis B virus D,,,,,,,,,
69,Hepatitis B virus F,,,,,,,,,
70,Hepatitis C virus,,,,,,,,,
71,Human herpesvirus 1,,,,,,,,,
72,Human herpesvirus 3,,,,,,,,,
73,Human herpesvirus 4,,,,,,,,,
74,Human herpesvirus 5,,,,,,,,,
75,Human immunodeficiency virus,,,,,,,,,
76,Human immunodeficiency virus 1,,,,,,,,,
77,Human parainfluenza virus type 2,,,,,,,,,
78,Influenza A virus,,,,,,,,,
79,Influenza B virus,,,,,,,,,
80,Klebsiella pneumoniae,,,,,,,,,
81,Klebsiella variicola,,,,,,,,,
82,Kocuria rhizophila,,,,,,,,,
83,Listeria monocytogenes,,,,,,,,,
84,Listeria monocytogenes serotype 4a,,,,,,,,,
85,Lysinibacillus sphaericus,,,,,,,,,
86,Marinobacter hydrocarbonoclasticus,,,,,,,,,
87,Morganella morganii,,,,,,,,,
88,Mycobacterium avium,,,,,,,,,
89,Mycobacterium leprae,,,,,,,,,
90,Mycobacterium smegmatis,,,,,,,,,
91,Mycobacterium tuberculosis,,,,,,,,,
92,Obesumbacterium proteus,,,,,,,,,
93,Pantoea agglomerans,,,,,,,,,
94,Pichia anomala,,,,,,,,,
95,Plasmodium falciparum,,,,,,,,,
96,Porphyromonas gingivalis,,,,,,,,,
97,Propionibacterium acnes,,,,,,,,,
98,Proteus mirabilis,,,,,,,,,
99,Proteus vulgaris,,,,,,,,,
100,Providencia stuartii,,,,,,,,,
101,Pseudoalteromonas sp.,,,,,,,,,
102,Pseudomonas aeruginosa,,,,,,,,,
103,Pseudomonas chlororaphis,,,,,,,,,
104,Pseudomonas fluorescens,,,,,,,,,
105,Pseudomonas japonica,,,,,,,,,
106,Pseudomonas libaniensis,,,,,,,,,
107,Pseudomonas putida,,,,,,,,,
108,Raoultella ornithinolytica,,,,,,,,,
109,Salmonella Typhi,,,,,,,,,
110,Salmonella enterica,,,,,,,,,
111,Schistosoma,,,,,,,,,
112,Serratia liquefaciens,,,,,,,,,
113,Serratia marcescens,,,,,,,,,
114,Shewanella oneidensis,,,,,,,,Ciprofloxacin,pmid
115,Shigella flexneri,,,,,,,Bacillus subtilis,9999,
116,Sphingomonas sp.,,,,,,,Escherichia coli,9999,
117,Staphylococcus aureus,,,,,,,Haemophilus influenzae,9999,
118,Staphylococcus capitis,,,,,,,Morganella morganii,9999,
119,Staphylococcus caprae,,,,,,,Mycobacterium tuberculosis,9999,
120,Staphylococcus chromogenes,,,,,,,Proteus vulgaris,9999,
121,Staphylococcus cohnii,,,,,,,Providencia stuartii,9999,
122,Staphylococcus epidermidis,,,,,,,Pseudomonas aeruginosa,9999,
123,Stenotrophomonas maltophilia,,,,,,,Staphylococcus aureus,9999,
